id;prompt;generated_response;token_usage;response_time_ms;feedback_rating;created_at
1;gestionnaire bang lâcher;clientèle figurer maintenant;20350;27187;9935;2025-07-19T01:17:54
2;calme;accumuler glouglou cadre;18941;22980;25917;2025-07-19T13:12:08
3;sous couleur de articuler;également rembourser à moins de;2716;21909;9841;2025-07-19T09:14:15
4;carrément;fendre;27283;18556;5112;2025-07-19T03:46:14
5;autour de fidèle;considérable caresser hirsute;19666;27163;8637;2025-07-19T17:10:47
6;provoquer;au point que;17260;8113;8108;2025-07-19T16:04:23
7;dans la mesure où d'après trop;super;11983;31815;28805;2025-07-18T19:55:25
8;conseil d’administration du fait que;vers téméraire dominer;13315;5497;28925;2025-07-19T01:55:24
9;délectable;préoccuper totalement pourvu que;17653;23702;17195;2025-07-19T04:03:38
10;bzzz broum;arriver bzzz membre à vie;10500;7958;12562;2025-07-18T22:36:59
