id;generated_response;generated_file_url;input_file_url;token_usage;response_time_ms;feedback_rating;created_at
1;commissionnaire tsoin-tsoin;près de étant donné que;tellement devant;3104;20951;8929;2025-07-19T22:51:28
2;terne hier équipe de recherche;sauf rectangulaire;à côté de magenta;4853;18512;9551;2025-07-19T13:02:29
3;broum;cocorico;passablement actionnaire solitaire;18949;9992;20800;2025-07-20T03:38:11
4;étant donné que livrer juriste;orange;tandis que en decà de;4488;18399;12863;2025-07-20T10:03:11
5;agréable trop peu boum;communauté étudiante concurrence;bien moyennant;18530;20864;24694;2025-07-20T08:46:04
6;devant;certainement feindre;jeune enfant trop;23231;19609;28692;2025-07-19T20:53:47
7;pff tant que;entièrement;hormis en bas de;29420;1464;158;2025-07-19T14:59:59
8;dès que atchoum;du fait que mieux ici;depuis plouf;14127;16247;10287;2025-07-19T18:40:38
9;distraire rose;broum;ouch également membre titulaire;8133;10292;2622;2025-07-20T05:58:10
10;émerger loufoque à l'entour de;comme;arrière;21044;13040;9808;2025-07-19T21:14:47
