id;file_name;title;description;embed;vector_id;created_at;updated_at;file_url
1;tant que;autour de;fonder;true;méditer;2025-07-20T02:10:21;2025-07-20T09:43:10;oui de sorte que du moment que
2;si téméraire;d'après débattre adversaire;cuicui ainsi au-dessus de;true;ça;2025-07-20T03:25:13;2025-07-20T00:49:32;au défaut de retarder tandis que
3;chauffer;vlan composer diététiste;approuver marcher;true;éclaircir tellement;2025-07-20T08:43:01;2025-07-19T18:52:08;triathlète afin que
4;approximativement spécialiste;autour de;ici vlan;false;brave au-dedans de;2025-07-20T00:31:07;2025-07-19T15:47:59;prestataire de services hypocrite
5;corps enseignant malgré supposer;ouch de sorte que cot cot;cot cot;true;trancher triangulaire;2025-07-19T17:49:16;2025-07-20T00:58:46;police
6;chez placide ha ha;complètement gens aigre;emmener par suite de traîner;true;hôte;2025-07-19T16:59:57;2025-07-19T18:18:15;main-d’œuvre oui pourpre
7;quoique ouf coin-coin;vraiment cocorico jusqu’à ce que;proche de gâcher;false;gigantesque;2025-07-19T23:34:57;2025-07-19T20:11:31;chef de cuisine de manière à ce que
8;calme groin groin;après groin groin;ferme sage pater;true;outre membre titulaire alors que;2025-07-19T14:16:25;2025-07-19T19:07:05;intrépide lunatique
9;sauvage trop peu;ouin partenaire;quant à à peine;true;envahir;2025-07-19T23:42:47;2025-07-19T17:12:42;officier exprès agréable
10;glouglou;ouin prestataire de services équipe;camarade;true;alors que oups terne;2025-07-19T15:52:02;2025-07-19T14:41:51;meuh très
