id;input_type;prompt;generated_response;generated_file_url;input_file_url;token_usage;response_time_ms;feedback_rating;created_at
1;PDF;à défaut de ;outre ci;tandis que camarade exprès;horrible filer plic;11034;23968;8471;2025-07-20T10:11:16
2;PDF;parce que;décrocher quand vu que;en vérité;passablement rectorat entièrement;29337;15000;5894;2025-07-19T16:26:02
3;TEXT;persuader prestataire de services avant que;si rapide chialer;parlementaire;à l'instar de;24490;365;7042;2025-07-19T13:01:14
4;PDF;pff;membre de l’équipe innombrable foule;en plus de abattre;sous couleur de de façon que triste;9842;5966;10774;2025-07-19T13:42:17
5;PDF;membre titulaire;commis cadre;bang marron autour;là-haut triathlète commenter;3571;30857;13557;2025-07-19T17:20:42
6;PDF;de la part de sans que;repasser soulager sale;mieux;mince;24252;13745;24913;2025-07-20T10:33:50
7;PDF;vouh boum;avare à l'égard de généraliser;vibrer gigantesque;même si gueuler responsable;4248;1317;32287;2025-07-19T12:32:01
8;TEXT;exciter;areu areu délectable;autant d'avec;franco aborder;21455;2538;11831;2025-07-19T21:50:03
9;PDF;guetter;secours;énorme athlète gigantesque;de façon que isoler hormis;3450;30549;13380;2025-07-19T16:19:01
10;TEXT;pendant que tandis que parmi;placer afin de;ronron;serviable;13111;4327;12810;2025-07-20T06:01:17
