id;type;session_status;created_at;updated_at;ended_at
1;QUIZ;ACTIVE;2025-07-19T12:57:00;2025-07-19T12:31:27;2025-07-19T11:22:39
2;QUIZ;ACTIVE;2025-07-19T08:41:59;2025-07-19T09:12:15;2025-07-19T14:46:21
3;CHAT;ACTIVE;2025-07-19T03:18:03;2025-07-18T19:38:18;2025-07-19T03:07:44
4;COURSE;CANCELLED;2025-07-19T10:44:12;2025-07-19T16:00:42;2025-07-19T05:10:03
5;QUIZ;CANCELLED;2025-07-19T02:25:40;2025-07-18T22:12:18;2025-07-19T09:31:00
6;QUIZ;COMPLETED;2025-07-19T08:38:38;2025-07-19T05:01:40;2025-07-19T08:26:03
7;QUIZ;COMPLETED;2025-07-19T12:17:27;2025-07-18T19:59:22;2025-07-19T06:01:50
8;COURSE;ACTIVE;2025-07-18T19:13:53;2025-07-19T16:46:16;2025-07-18T23:13:50
9;COURSE;CANCELLED;2025-07-19T05:01:46;2025-07-19T16:59:45;2025-07-19T04:28:32
10;CHAT;CANCELLED;2025-07-19T09:44:30;2025-07-19T01:58:57;2025-07-19T02:46:16
